concepto,reconstruido,latin_gold,entropia_media_bits,edit_distance,acierto_segmento
key,k r a v e,k l a v e,0.688,1,0.8
night,n o a j t e,n o k t e,0.559,2,0.8
eight,o j t o,o k t o,0.651,1,0.75
milk,l a j t e,l a k t e,0.448,1,0.8
to_do,f a z e r,f a k e r e,0.577,2,0.67
fire,f w o g o,f o k u,0.342,3,0.5
hundred,s j e n t o,k e n t u,0.787,3,0.6
moon,l u n a,l u n a,0.002,0,1.0
sea,m a r e,m a r e,0.004,0,1.0
flower,f l o a r e,f l o r e,0.243,1,1.0
to_sing,k a n t a r e,k a n t a r e,0.226,0,1.0
dog,k a a n e,k a n e,0.437,1,1.0
to_have,a v w e r e,h a b e r e,0.57,3,0.67
water,a b w a,a k w a,0.548,1,0.75
to_die,m o r i r e,m o r i r e,0.388,0,1.0
name,n o m b r e,n o m e n,0.76,3,0.8
new,n w o v u,n o v u,0.405,1,1.0
to_love,a m a r e,a m a r e,0.309,0,1.0
